[27.01.2026 21:36:12] INFO / <module> (main): BulbaTech-citymap server starting...
[27.01.2026 21:36:12] INFO / load_config (config): Config loading...
[27.01.2026 21:36:12] WARNING / load_config (config): [Errno 2] No such file or directory: 'config.json' / Using default config...
[27.01.2026 21:36:12] INFO / save_default_config (config): Default config loaded!
[27.01.2026 21:36:12] INFO / initialize_system (database): Database initializing...
[27.01.2026 21:36:13] INFO / initialize_system (database): Database initialization is completed!
[27.01.2026 21:36:13] INFO / <module> (main): BulbaTech-citymap server started!
[27.01.2026 21:36:13] INFO / <module> (main): CORS enabled for all /api/* endpoints
[27.01.2026 21:36:13] INFO / <module> (main): Server listening on port 8888
[27.01.2026 21:36:13] INFO / <module> (main): Test: http://127.0.0.1:8888/api/status
[27.01.2026 21:36:13] DEBUG / __init__ (proactor_events): Using proactor: IocpProactor
[27.01.2026 21:36:38] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 28.78ms
[27.01.2026 21:36:39] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 0.71ms
[27.01.2026 21:36:39] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 6.20ms
[27.01.2026 21:36:39] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 2.68ms
[27.01.2026 21:36:39] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 9.47ms
[27.01.2026 21:36:39] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 12.57ms
[27.01.2026 21:36:39] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 0.71ms
[27.01.2026 21:36:39] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 0.46ms
[27.01.2026 21:36:39] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 0.47ms
[27.01.2026 21:36:39] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 13.34ms
[27.01.2026 21:36:39] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 18.07ms
[27.01.2026 21:36:39] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 3.62ms
[27.01.2026 21:36:39] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 2.54ms
[27.01.2026 21:36:39] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 2.40ms
[27.01.2026 21:36:40] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 13.41ms
[27.01.2026 21:36:40] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 9.07ms
[27.01.2026 21:36:40] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 3.46ms
[27.01.2026 21:36:40] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 4.40ms
[27.01.2026 21:36:40] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 0.74ms
[27.01.2026 21:36:40] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 1.19ms
[27.01.2026 21:36:52] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 0.59ms
[27.01.2026 21:37:05] WARNING / log_request (web): 404 POST /signup (192.168.1.2) 0.83ms
